Loading class name:BtcRelax\DAO   |  Date:  11.05.2016 07:02:28
Start to initialize core version:1.2.2.0   |  Date:  11.05.2016 07:02:58
Loading class name:BtcRelax\RE   |  Date:  11.05.2016 07:02:58
Loading class name:BtcRelax\AM   |  Date:  11.05.2016 07:02:58
Loading class name:BtcRelax\User   |  Date:  11.05.2016 07:02:58
Loading class name:BtcRelax\CustomerDao   |  Date:  11.05.2016 07:02:58
Loading class name:BtcRelax\BaseDao   |  Date:  11.05.2016 07:02:58
Loading class name:BtcRelax\Model\Customer   |  Date:  11.05.2016 07:02:58
Loading class name:BtcRelax\Mapping\CustomerMapper   |  Date:  11.05.2016 07:02:58
Loading class name:BtcRelax\OM   |  Date:  11.05.2016 07:02:58
Loading class name:BtcRelax\SecureSession   |  Date:  11.05.2016 07:02:58
Loading class name:BtcRelax\DAO   |  Date:  11.05.2016 07:02:58
Start to initialize core version:1.2.2.0   |  Date:  11.05.2016 07:03:28
Loading class name:BtcRelax\RE   |  Date:  11.05.2016 07:03:28
Loading class name:BtcRelax\AM   |  Date:  11.05.2016 07:03:28
Loading class name:BtcRelax\User   |  Date:  11.05.2016 07:03:28
Loading class name:BtcRelax\CustomerDao   |  Date:  11.05.2016 07:03:28
Loading class name:BtcRelax\BaseDao   |  Date:  11.05.2016 07:03:28
Loading class name:BtcRelax\Model\Customer   |  Date:  11.05.2016 07:03:28
Loading class name:BtcRelax\Mapping\CustomerMapper   |  Date:  11.05.2016 07:03:28
Loading class name:BtcRelax\OM   |  Date:  11.05.2016 07:03:28
Loading class name:BtcRelax\SecureSession   |  Date:  11.05.2016 07:03:28
Loading class name:BtcRelax\DAO   |  Date:  11.05.2016 07:03:28
Start to initialize core version:1.2.2.0   |  Date:  11.05.2016 07:03:58
Loading class name:BtcRelax\RE   |  Date:  11.05.2016 07:03:58
Loading class name:BtcRelax\AM   |  Date:  11.05.2016 07:03:58
Loading class name:BtcRelax\User   |  Date:  11.05.2016 07:03:58
Loading class name:BtcRelax\CustomerDao   |  Date:  11.05.2016 07:03:58
Loading class name:BtcRelax\BaseDao   |  Date:  11.05.2016 07:03:58
Loading class name:BtcRelax\Model\Customer   |  Date:  11.05.2016 07:03:58
Loading class name:BtcRelax\Mapping\CustomerMapper   |  Date:  11.05.2016 07:03:58
Loading class name:BtcRelax\OM   |  Date:  11.05.2016 07:03:58
Loading class name:BtcRelax\SecureSession   |  Date:  11.05.2016 07:03:58
Loading class name:BtcRelax\DAO   |  Date:  11.05.2016 07:03:58
Start to initialize core version:1.2.2.0   |  Date:  11.05.2016 07:04:28
Loading class name:BtcRelax\RE   |  Date:  11.05.2016 07:04:28
Loading class name:BtcRelax\AM   |  Date:  11.05.2016 07:04:28
Loading class name:BtcRelax\User   |  Date:  11.05.2016 07:04:28
Loading class name:BtcRelax\CustomerDao   |  Date:  11.05.2016 07:04:28
Loading class name:BtcRelax\BaseDao   |  Date:  11.05.2016 07:04:28
Loading class name:BtcRelax\Model\Customer   |  Date:  11.05.2016 07:04:28
Loading class name:BtcRelax\Mapping\CustomerMapper   |  Date:  11.05.2016 07:04:28
Loading class name:BtcRelax\OM   |  Date:  11.05.2016 07:04:28
Loading class name:BtcRelax\SecureSession   |  Date:  11.05.2016 07:04:28
Loading class name:BtcRelax\DAO   |  Date:  11.05.2016 07:04:28
Start to initialize core version:1.2.2.0   |  Date:  11.05.2016 07:04:57
Loading class name:BtcRelax\RE   |  Date:  11.05.2016 07:04:57
Loading class name:BtcRelax\AM   |  Date:  11.05.2016 07:04:57
Loading class name:BtcRelax\User   |  Date:  11.05.2016 07:04:57
Loading class name:BtcRelax\CustomerDao   |  Date:  11.05.2016 07:04:57
Loading class name:BtcRelax\BaseDao   |  Date:  11.05.2016 07:04:57
Loading class name:BtcRelax\Model\Customer   |  Date:  11.05.2016 07:04:58
Loading class name:BtcRelax\Mapping\CustomerMapper   |  Date:  11.05.2016 07:04:58
Loading class name:BtcRelax\OM   |  Date:  11.05.2016 07:04:58
Loading class name:BtcRelax\SecureSession   |  Date:  11.05.2016 07:04:58
Loading class name:BtcRelax\DAO   |  Date:  11.05.2016 07:04:58
Start to initialize core version:1.2.2.0   |  Date:  11.05.2016 07:05:27
Loading class name:BtcRelax\RE   |  Date:  11.05.2016 07:05:27
Loading class name:BtcRelax\AM   |  Date:  11.05.2016 07:05:27
Loading class name:BtcRelax\User   |  Date:  11.05.2016 07:05:27
Loading class name:BtcRelax\CustomerDao   |  Date:  11.05.2016 07:05:27
Loading class name:BtcRelax\BaseDao   |  Date:  11.05.2016 07:05:27
Loading class name:BtcRelax\Model\Customer   |  Date:  11.05.2016 07:05:27
Loading class name:BtcRelax\Mapping\CustomerMapper   |  Date:  11.05.2016 07:05:27
Loading class name:BtcRelax\OM   |  Date:  11.05.2016 07:05:27
Loading class name:BtcRelax\SecureSession   |  Date:  11.05.2016 07:05:28
Loading class name:BtcRelax\DAO   |  Date:  11.05.2016 07:05:28
Start to initialize core version:1.2.2.0   |  Date:  11.05.2016 07:05:57
Loading class name:BtcRelax\RE   |  Date:  11.05.2016 07:05:57
Loading class name:BtcRelax\AM   |  Date:  11.05.2016 07:05:57
Loading class name:BtcRelax\User   |  Date:  11.05.2016 07:05:57
Loading class name:BtcRelax\CustomerDao   |  Date:  11.05.2016 07:05:57
Loading class name:BtcRelax\BaseDao   |  Date:  11.05.2016 07:05:57
Loading class name:BtcRelax\Model\Customer   |  Date:  11.05.2016 07:05:57
